lucode,code,nlcd,LULC_name,notes,nlud_simple,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type,tree,tree_canopy_percentage,tree_canopy_cover,tree_canopy_colors,c_above,c_below,c_soil,c_dead,c_embedded_storage,c_embedded_emissions,c_annual_emissions
403,13233,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,68.35215504,1.0472,89.55819981,7.1624,234.070122,954.85,720.4716833
404,13240,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,0,0,none,#ffffff,10.98142029,1.76,44.78642515,0.245,267.9065041,3418.485,1805.616283
405,13241,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,1,0.15,low,#e5f5e0,23.50120467,1.496,53.63644993,1.80825,267.9065041,3418.485,1805.616283
406,13242,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,2,0.4,medium,#a1d99b,44.36751198,1.056,68.38649122,4.413666667,267.9065041,3418.485,1805.616283
407,13243,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,66.06847158,0.5984,83.72653416,7.1233,267.9065041,3418.485,1805.616283
408,13310,31,Barren Land,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,0,0,none,#ffffff,6.8,0,25.5,0,0,0,0
409,13311,31,Barren Land,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,1,0.15,low,#e5f5e0,19.94699743,0,37.24298855,1.6,0,0,0
410,13312,31,Barren Land,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,2,0.4,medium,#a1d99b,41.8586598,0,56.81463613,4.266666667,0,0,0
411,13313,31,Barren Land,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,64.64678868,0,77.16914961,7.04,0,0,0
412,13410,41,Deciduous Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,0,0,none,#ffffff,85.88498714,0,96.08994273,8.8,0,0,0
413,13411,41,Deciduous Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,1,0.15,low,#e5f5e0,85.88498714,0,96.08994273,8.8,0,0,0
414,13412,41,Deciduous Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,2,0.4,medium,#a1d99b,85.88498714,0,96.08994273,8.8,0,0,0
415,13413,41,Deciduous Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,3,0.66,high,#31a354,85.88498714,0,96.08994273,8.8,0,0,0
416,13420,42,Evergreen Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,0,0,none,#ffffff,105.6849871,0,96.08994273,14.4,0,0,0
417,13421,42,Evergreen Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,1,0.15,low,#e5f5e0,105.6849871,0,96.08994273,14.4,0,0,0
418,13422,42,Evergreen Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,2,0.4,medium,#a1d99b,105.6849871,0,96.08994273,14.4,0,0,0
419,13423,42,Evergreen Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,3,0.66,high,#31a354,105.6849871,0,96.08994273,14.4,0,0,0
420,13430,43,Mixed Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,0,0,none,#ffffff,91.76997429,0,119.1798855,8.8,0,0,0
421,13431,43,Mixed Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,1,0.15,low,#e5f5e0,91.76997429,0,119.1798855,8.8,0,0,0
422,13432,43,Mixed Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,2,0.4,medium,#a1d99b,91.76997429,0,119.1798855,8.8,0,0,0
423,13433,43,Mixed Forest,,13,Residential,Suburban,-1,0.8,-1,-1,1,-1,-1,-1,3,0.66,high,#31a354,91.76997429,0,119.1798855,8.8,0,0,0
424,13520,52,Shrub/Scrub,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,0,0,none,#ffffff,47.875,0,68.15477645,0,0,0,0
425,13521,52,Shrub/Scrub,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,1,0.15,low,#e5f5e0,54.86074743,0,73.49954853,1.6,0,0,0
426,13522,52,Shrub/Scrub,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,2,0.4,medium,#a1d99b,66.5036598,0,82.407502,4.266666667,0,0,0
427,13523,52,Shrub/Scrub,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,78.61228868,0,91.6717736,7.04,0,0,0
428,13710,71,Herbaceuous,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
429,13711,71,Herbaceuous,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
430,13712,71,Herbaceuous,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
431,13713,71,Herbaceuous,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
432,13810,81,Hay/Pasture,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
433,13811,81,Hay/Pasture,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
434,13812,81,Hay/Pasture,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
435,13813,81,Hay/Pasture,,13,Residential,Suburban,0.8,0.8,0.8,0.5,1,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
436,13820,82,Cultivated Crops,,13,Residential,Suburban,0.8,0.8,0.8,-1,-1,-1,-1,-1,0,0,none,#ffffff,4.793840162,0,65.75263422,0,0,0,0
437,13821,82,Cultivated Crops,,13,Residential,Suburban,0.8,0.8,0.8,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,18.24176156,0,71.45772764,1.6,0,0,0
438,13822,82,Cultivated Crops,,13,Residential,Suburban,0.8,0.8,0.8,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,40.6549639,0,80.96621666,4.266666667,0,0,0
439,13823,82,Cultivated Crops,,13,Residential,Suburban,0.8,0.8,0.8,-1,-1,-1,-1,-1,3,0.66,high,#31a354,63.96469433,0,90.85504525,7.04,0,0,0
440,13900,90,Woody Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
441,13901,90,Woody Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
442,13902,90,Woody Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
443,13903,90,Woody Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
444,13950,95,Emergent Herbaceuous Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
445,13951,95,Emergent Herbaceuous Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
446,13952,95,Emergent Herbaceuous Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
447,13953,95,Emergent Herbaceuous Wetlands,,13,Residential,Suburban,0.8,0.8,-1,-1,1,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
448,14110,11,Open Water,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
449,14111,11,Open Water,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
450,14112,11,Open Water,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
451,14113,11,Open Water,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
452,14120,12,Perennial Ice/Snow,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
453,14121,12,Perennial Ice/Snow,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
454,14122,12,Perennial Ice/Snow,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
455,14123,12,Perennial Ice/Snow,,14,Residential,Exurban,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
456,14210,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,25.49986095,4.08,79.01411479,1.76,51.81402439,212.31,37.03522039
457,14211,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,35.84187923,3.468,82.72998612,3.096,51.81402439,212.31,37.03522039
458,14212,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,53.07857637,2.448,88.923105,5.322666667,51.81402439,212.31,37.03522039
459,14213,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,71.0047414,1.3872,95.36394864,7.6384,51.81402439,212.31,37.03522039
460,14220,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,20.90844667,3.52,72.06732319,0.61,207.2560976,849.24,147.1338816
461,14221,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,31.9391771,2.992,76.82521326,2.1185,207.2560976,849.24,147.1338816
462,14222,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,50.32372781,2.112,84.75503004,4.632666667,207.2560976,849.24,147.1338816
463,14223,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,69.44366054,1.1968,93.0020395,7.2474,207.2560976,849.24,147.1338816
464,14230,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,17.69813636,3.08,61.93838294,0.36,234.070122,954.85,720.4716833
465,14231,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,29.21041333,2.618,68.21561405,1.906,234.070122,954.85,720.4716833
466,14232,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,48.39754162,1.848,78.67766589,4.482666667,234.070122,954.85,720.4716833
467,14233,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,68.35215504,1.0472,89.55819981,7.1624,234.070122,954.85,720.4716833
468,14240,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,10.98142029,1.76,44.78642515,0.245,267.9065041,3418.485,1805.616283
469,14241,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,23.50120467,1.496,53.63644993,1.80825,267.9065041,3418.485,1805.616283
470,14242,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,44.36751198,1.056,68.38649122,4.413666667,267.9065041,3418.485,1805.616283
471,14243,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,66.06847158,0.5984,83.72653416,7.1233,267.9065041,3418.485,1805.616283
472,14310,31,Barren Land,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,6.8,0,25.5,0,0,0,0
473,14311,31,Barren Land,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,19.94699743,0,37.24298855,1.6,0,0,0
474,14312,31,Barren Land,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,41.8586598,0,56.81463613,4.266666667,0,0,0
475,14313,31,Barren Land,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,64.64678868,0,77.16914961,7.04,0,0,0
476,14410,41,Deciduous Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,0,0,none,#ffffff,85.88498714,0,96.08994273,8.8,0,0,0
477,14411,41,Deciduous Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,85.88498714,0,96.08994273,8.8,0,0,0
478,14412,41,Deciduous Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,85.88498714,0,96.08994273,8.8,0,0,0
479,14413,41,Deciduous Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,3,0.66,high,#31a354,85.88498714,0,96.08994273,8.8,0,0,0
480,14420,42,Evergreen Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,0,0,none,#ffffff,105.6849871,0,96.08994273,14.4,0,0,0
481,14421,42,Evergreen Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,105.6849871,0,96.08994273,14.4,0,0,0
482,14422,42,Evergreen Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,105.6849871,0,96.08994273,14.4,0,0,0
483,14423,42,Evergreen Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,3,0.66,high,#31a354,105.6849871,0,96.08994273,14.4,0,0,0
484,14430,43,Mixed Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,0,0,none,#ffffff,91.76997429,0,119.1798855,8.8,0,0,0
485,14431,43,Mixed Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,91.76997429,0,119.1798855,8.8,0,0,0
486,14432,43,Mixed Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,91.76997429,0,119.1798855,8.8,0,0,0
487,14433,43,Mixed Forest,,14,Residential,Exurban,-1,0.6,-1,-1,0.8,-1,-1,-1,3,0.66,high,#31a354,91.76997429,0,119.1798855,8.8,0,0,0
488,14520,52,Shrub/Scrub,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,47.875,0,68.15477645,0,0,0,0
489,14521,52,Shrub/Scrub,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,54.86074743,0,73.49954853,1.6,0,0,0
490,14522,52,Shrub/Scrub,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,66.5036598,0,82.407502,4.266666667,0,0,0
491,14523,52,Shrub/Scrub,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,78.61228868,0,91.6717736,7.04,0,0,0
492,14710,71,Herbaceuous,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
493,14711,71,Herbaceuous,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
494,14712,71,Herbaceuous,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
495,14713,71,Herbaceuous,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
496,14810,81,Hay/Pasture,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,0,0,none,#ffffff,10.10660117,8,98.79264417,0,0,0,0
497,14811,81,Hay/Pasture,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,22.75760842,6.8,99.54173609,1.6,0,0,0
498,14812,81,Hay/Pasture,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,43.84262051,4.8,100.7902226,4.266666667,0,0,0
499,14813,81,Hay/Pasture,,14,Residential,Exurban,0.6,0.6,0.6,0.7,0.8,-1,-1,-1,3,0.66,high,#31a354,65.77103307,2.72,102.0886486,7.04,0,0,0
500,14820,82,Cultivated Crops,,14,Residential,Exurban,0.6,0.6,0.6,-1,-1,-1,-1,-1,0,0,none,#ffffff,4.793840162,0,65.75263422,0,0,0,0
501,14821,82,Cultivated Crops,,14,Residential,Exurban,0.6,0.6,0.6,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,18.24176156,0,71.45772764,1.6,0,0,0
502,14822,82,Cultivated Crops,,14,Residential,Exurban,0.6,0.6,0.6,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,40.6549639,0,80.96621666,4.266666667,0,0,0
503,14823,82,Cultivated Crops,,14,Residential,Exurban,0.6,0.6,0.6,-1,-1,-1,-1,-1,3,0.66,high,#31a354,63.96469433,0,90.85504525,7.04,0,0,0
504,14900,90,Woody Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
505,14901,90,Woody Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
506,14902,90,Woody Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
507,14903,90,Woody Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
508,14950,95,Emergent Herbaceuous Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,0,0,none,#ffffff,33.5,0,259,0,0,0,0
509,14951,95,Emergent Herbaceuous Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,1,0.15,low,#e5f5e0,42.64199743,0,235.7179885,1.6,0,0,0
510,14952,95,Emergent Herbaceuous Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,2,0.4,medium,#a1d99b,57.8786598,0,196.9146361,4.266666667,0,0,0
511,14953,95,Emergent Herbaceuous Wetlands,,14,Residential,Exurban,0.6,0.6,-1,-1,0.8,-1,-1,-1,3,0.66,high,#31a354,73.72478868,0,156.5591496,7.04,0,0,0
512,15110,11,Open Water,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
513,15111,11,Open Water,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
514,15112,11,Open Water,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
515,15113,11,Open Water,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
516,15120,12,Perennial Ice/Snow,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,0,0,none,#ffffff,0,0,0,0,0,0,0
517,15121,12,Perennial Ice/Snow,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,1,0.15,low,#e5f5e0,14.16699743,0,15.56798855,1.6,0,0,0
518,15122,12,Perennial Ice/Snow,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,2,0.4,medium,#a1d99b,37.7786598,0,41.51463613,4.266666667,0,0,0
519,15123,12,Perennial Ice/Snow,,15,Residential,Rural,-1,-1,-1,-1,-1,-1,-1,-1,3,0.66,high,#31a354,62.33478868,0,68.49914961,7.04,0,0,0
520,15210,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,0,0,none,#ffffff,25.49986095,4.08,79.01411479,1.76,51.81402439,212.31,37.03522039
521,15211,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,1,0.15,low,#e5f5e0,35.84187923,3.468,82.72998612,3.096,51.81402439,212.31,37.03522039
522,15212,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,2,0.4,medium,#a1d99b,53.07857637,2.448,88.923105,5.322666667,51.81402439,212.31,37.03522039
523,15213,21,"Developed, Open Space","20% trees, 60% grass, and 10% buildings and 10% bare soil",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,3,0.66,high,#31a354,71.0047414,1.3872,95.36394864,7.6384,51.81402439,212.31,37.03522039
524,15220,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,0,0,none,#ffffff,20.90844667,3.52,72.06732319,0.61,207.2560976,849.24,147.1338816
525,15221,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,1,0.15,low,#e5f5e0,31.9391771,2.992,76.82521326,2.1185,207.2560976,849.24,147.1338816
526,15222,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,2,0.4,medium,#a1d99b,50.32372781,2.112,84.75503004,4.632666667,207.2560976,849.24,147.1338816
527,15223,22,"Developed, Low Intensity","20% trees, 40% grass, and 40% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,3,0.66,high,#31a354,69.44366054,1.1968,93.0020395,7.2474,207.2560976,849.24,147.1338816
528,15230,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,0,0,none,#ffffff,17.69813636,3.08,61.93838294,0.36,234.070122,954.85,720.4716833
529,15231,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,1,0.15,low,#e5f5e0,29.21041333,2.618,68.21561405,1.906,234.070122,954.85,720.4716833
530,15232,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,2,0.4,medium,#a1d99b,48.39754162,1.848,78.67766589,4.482666667,234.070122,954.85,720.4716833
531,15233,23,"Developed, Medium Intensity","15% trees, 35% grass, and 50% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,3,0.66,high,#31a354,68.35215504,1.0472,89.55819981,7.1624,234.070122,954.85,720.4716833
532,15240,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,0,0,none,#ffffff,10.98142029,1.76,44.78642515,0.245,267.9065041,3418.485,1805.616283
533,15241,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,1,0.15,low,#e5f5e0,23.50120467,1.496,53.63644993,1.80825,267.9065041,3418.485,1805.616283
534,15242,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,2,0.4,medium,#a1d99b,44.36751198,1.056,68.38649122,4.413666667,267.9065041,3418.485,1805.616283
535,15243,24,"Developed, High Intensity","10% trees, 20% grass, and 70% buildings",15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,3,0.66,high,#31a354,66.06847158,0.5984,83.72653416,7.1233,267.9065041,3418.485,1805.616283
536,15310,31,Barren Land,,15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,0,0,none,#ffffff,6.8,0,25.5,0,0,0,0
537,15311,31,Barren Land,,15,Residential,Rural,0.4,0.4,0.4,0.9,0.6,-1,-1,-1,1,0.15,low,#e5f5e0,19.94699743,0,37.24298855,1.6,0,0,0
