lucode,code,nlud_simple_class,nlud_simple_subclass,simple_nlud,nlcd,nlcd_lulc,nlcd_colors,tree,tree_canopy_cover,tree_colors,urban_nature,search_radius_m
533,013721,Residential,Suburban,13,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
534,013722,Residential,Suburban,13,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
535,013723,Residential,Suburban,13,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
536,013730,Residential,Suburban,13,73,Lichens,#99C147,0,none,#ffffff,0,
537,013731,Residential,Suburban,13,73,Lichens,#99C147,1,low,#e5f5e0,0,
538,013732,Residential,Suburban,13,73,Lichens,#99C147,2,medium,#a1d99b,0,
539,013733,Residential,Suburban,13,73,Lichens,#99C147,3,high,#31a354,1,
540,013740,Residential,Suburban,13,74,Moss,#77AD93,0,none,#ffffff,0,
541,013741,Residential,Suburban,13,74,Moss,#77AD93,1,low,#e5f5e0,0,
542,013742,Residential,Suburban,13,74,Moss,#77AD93,2,medium,#a1d99b,0,
543,013743,Residential,Suburban,13,74,Moss,#77AD93,3,high,#31a354,1,
544,013810,Residential,Suburban,13,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
545,013811,Residential,Suburban,13,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
546,013812,Residential,Suburban,13,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
547,013813,Residential,Suburban,13,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
548,013820,Residential,Suburban,13,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
549,013821,Residential,Suburban,13,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
550,013822,Residential,Suburban,13,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
551,013823,Residential,Suburban,13,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
552,013900,Residential,Suburban,13,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
553,013901,Residential,Suburban,13,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
554,013902,Residential,Suburban,13,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
555,013903,Residential,Suburban,13,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
556,013950,Residential,Suburban,13,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
557,013951,Residential,Suburban,13,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
558,013952,Residential,Suburban,13,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
559,013953,Residential,Suburban,13,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
560,014110,Residential,Exurban,14,11,Open Water,#476BA0,0,none,#ffffff,0,2230
561,014111,Residential,Exurban,14,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
562,014112,Residential,Exurban,14,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
563,014113,Residential,Exurban,14,11,Open Water,#476BA0,3,high,#31a354,1,2230
564,014120,Residential,Exurban,14,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
565,014121,Residential,Exurban,14,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
566,014122,Residential,Exurban,14,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
567,014123,Residential,Exurban,14,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
568,014210,Residential,Exurban,14,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
569,014211,Residential,Exurban,14,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
570,014212,Residential,Exurban,14,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
571,014213,Residential,Exurban,14,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
572,014220,Residential,Exurban,14,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
573,014221,Residential,Exurban,14,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
574,014222,Residential,Exurban,14,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
575,014223,Residential,Exurban,14,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
576,014230,Residential,Exurban,14,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
577,014231,Residential,Exurban,14,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
578,014232,Residential,Exurban,14,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
579,014233,Residential,Exurban,14,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
580,014240,Residential,Exurban,14,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
581,014241,Residential,Exurban,14,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
582,014242,Residential,Exurban,14,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
583,014243,Residential,Exurban,14,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
584,014310,Residential,Exurban,14,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
585,014311,Residential,Exurban,14,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
586,014312,Residential,Exurban,14,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
587,014313,Residential,Exurban,14,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
588,014410,Residential,Exurban,14,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
589,014411,Residential,Exurban,14,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
590,014412,Residential,Exurban,14,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
591,014413,Residential,Exurban,14,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
592,014420,Residential,Exurban,14,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
593,014421,Residential,Exurban,14,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
594,014422,Residential,Exurban,14,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
595,014423,Residential,Exurban,14,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
596,014430,Residential,Exurban,14,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
597,014431,Residential,Exurban,14,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
598,014432,Residential,Exurban,14,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
599,014433,Residential,Exurban,14,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
600,014510,Residential,Exurban,14,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
601,014511,Residential,Exurban,14,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
602,014512,Residential,Exurban,14,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
603,014513,Residential,Exurban,14,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
604,014520,Residential,Exurban,14,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
605,014521,Residential,Exurban,14,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
606,014522,Residential,Exurban,14,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
607,014523,Residential,Exurban,14,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
608,014710,Residential,Exurban,14,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
609,014711,Residential,Exurban,14,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
610,014712,Residential,Exurban,14,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
611,014713,Residential,Exurban,14,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
612,014720,Residential,Exurban,14,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
613,014721,Residential,Exurban,14,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
614,014722,Residential,Exurban,14,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
615,014723,Residential,Exurban,14,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
616,014730,Residential,Exurban,14,73,Lichens,#99C147,0,none,#ffffff,0,
617,014731,Residential,Exurban,14,73,Lichens,#99C147,1,low,#e5f5e0,0,
618,014732,Residential,Exurban,14,73,Lichens,#99C147,2,medium,#a1d99b,0,
619,014733,Residential,Exurban,14,73,Lichens,#99C147,3,high,#31a354,1,
620,014740,Residential,Exurban,14,74,Moss,#77AD93,0,none,#ffffff,0,
621,014741,Residential,Exurban,14,74,Moss,#77AD93,1,low,#e5f5e0,0,
622,014742,Residential,Exurban,14,74,Moss,#77AD93,2,medium,#a1d99b,0,
623,014743,Residential,Exurban,14,74,Moss,#77AD93,3,high,#31a354,1,
624,014810,Residential,Exurban,14,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
625,014811,Residential,Exurban,14,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
626,014812,Residential,Exurban,14,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
627,014813,Residential,Exurban,14,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
628,014820,Residential,Exurban,14,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
629,014821,Residential,Exurban,14,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
630,014822,Residential,Exurban,14,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
631,014823,Residential,Exurban,14,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
632,014900,Residential,Exurban,14,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
633,014901,Residential,Exurban,14,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
634,014902,Residential,Exurban,14,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
635,014903,Residential,Exurban,14,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
636,014950,Residential,Exurban,14,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
637,014951,Residential,Exurban,14,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
638,014952,Residential,Exurban,14,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
639,014953,Residential,Exurban,14,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
640,015110,Residential,Rural,15,11,Open Water,#476BA0,0,none,#ffffff,0,2230
641,015111,Residential,Rural,15,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
642,015112,Residential,Rural,15,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
643,015113,Residential,Rural,15,11,Open Water,#476BA0,3,high,#31a354,1,2230
644,015120,Residential,Rural,15,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
645,015121,Residential,Rural,15,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
646,015122,Residential,Rural,15,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
647,015123,Residential,Rural,15,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
648,015210,Residential,Rural,15,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
649,015211,Residential,Rural,15,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
650,015212,Residential,Rural,15,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
651,015213,Residential,Rural,15,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
652,015220,Residential,Rural,15,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
653,015221,Residential,Rural,15,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
654,015222,Residential,Rural,15,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
655,015223,Residential,Rural,15,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
656,015230,Residential,Rural,15,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
657,015231,Residential,Rural,15,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
658,015232,Residential,Rural,15,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
659,015233,Residential,Rural,15,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
660,015240,Residential,Rural,15,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
661,015241,Residential,Rural,15,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
662,015242,Residential,Rural,15,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
663,015243,Residential,Rural,15,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
664,015310,Residential,Rural,15,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
665,015311,Residential,Rural,15,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
666,015312,Residential,Rural,15,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
667,015313,Residential,Rural,15,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
668,015410,Residential,Rural,15,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
669,015411,Residential,Rural,15,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
670,015412,Residential,Rural,15,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
671,015413,Residential,Rural,15,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
672,015420,Residential,Rural,15,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
673,015421,Residential,Rural,15,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
674,015422,Residential,Rural,15,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
675,015423,Residential,Rural,15,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
676,015430,Residential,Rural,15,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
677,015431,Residential,Rural,15,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
678,015432,Residential,Rural,15,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
679,015433,Residential,Rural,15,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
680,015510,Residential,Rural,15,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
681,015511,Residential,Rural,15,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
682,015512,Residential,Rural,15,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
683,015513,Residential,Rural,15,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
684,015520,Residential,Rural,15,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
685,015521,Residential,Rural,15,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
686,015522,Residential,Rural,15,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
687,015523,Residential,Rural,15,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
688,015710,Residential,Rural,15,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
689,015711,Residential,Rural,15,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
690,015712,Residential,Rural,15,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
691,015713,Residential,Rural,15,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
692,015720,Residential,Rural,15,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
693,015721,Residential,Rural,15,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
694,015722,Residential,Rural,15,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
695,015723,Residential,Rural,15,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
696,015730,Residential,Rural,15,73,Lichens,#99C147,0,none,#ffffff,0,
697,015731,Residential,Rural,15,73,Lichens,#99C147,1,low,#e5f5e0,0,
698,015732,Residential,Rural,15,73,Lichens,#99C147,2,medium,#a1d99b,0,
699,015733,Residential,Rural,15,73,Lichens,#99C147,3,high,#31a354,1,
700,015740,Residential,Rural,15,74,Moss,#77AD93,0,none,#ffffff,0,
701,015741,Residential,Rural,15,74,Moss,#77AD93,1,low,#e5f5e0,0,
702,015742,Residential,Rural,15,74,Moss,#77AD93,2,medium,#a1d99b,0,
703,015743,Residential,Rural,15,74,Moss,#77AD93,3,high,#31a354,1,
704,015810,Residential,Rural,15,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
705,015811,Residential,Rural,15,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
706,015812,Residential,Rural,15,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
707,015813,Residential,Rural,15,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
708,015820,Residential,Rural,15,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
709,015821,Residential,Rural,15,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
710,015822,Residential,Rural,15,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
711,015823,Residential,Rural,15,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
712,015900,Residential,Rural,15,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
713,015901,Residential,Rural,15,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
714,015902,Residential,Rural,15,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
715,015903,Residential,Rural,15,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
716,015950,Residential,Rural,15,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
717,015951,Residential,Rural,15,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
718,015952,Residential,Rural,15,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
719,015953,Residential,Rural,15,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
720,020110,Commercial,,20,11,Open Water,#476BA0,0,none,#ffffff,0,2230
721,020111,Commercial,,20,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
722,020112,Commercial,,20,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
723,020113,Commercial,,20,11,Open Water,#476BA0,3,high,#31a354,1,2230
724,020120,Commercial,,20,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
725,020121,Commercial,,20,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
726,020122,Commercial,,20,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
727,020123,Commercial,,20,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
728,020210,Commercial,,20,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
729,020211,Commercial,,20,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
730,020212,Commercial,,20,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
731,020213,Commercial,,20,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
732,020220,Commercial,,20,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
733,020221,Commercial,,20,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
734,020222,Commercial,,20,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
735,020223,Commercial,,20,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
736,020230,Commercial,,20,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
737,020231,Commercial,,20,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
738,020232,Commercial,,20,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
739,020233,Commercial,,20,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
740,020240,Commercial,,20,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
741,020241,Commercial,,20,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
742,020242,Commercial,,20,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,0,2230
743,020243,Commercial,,20,24,"Developed, High Intensity",#AA0000,3,high,#31a354,1,2230
744,020310,Commercial,,20,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,0,2230
745,020311,Commercial,,20,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,0,2230
746,020312,Commercial,,20,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,0,2230
747,020313,Commercial,,20,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,1,2230
748,020410,Commercial,,20,41,Deciduous Forest,#68AA63,0,none,#ffffff,1,2230
749,020411,Commercial,,20,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,1,2230
750,020412,Commercial,,20,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,1,2230
751,020413,Commercial,,20,41,Deciduous Forest,#68AA63,3,high,#31a354,1,2230
752,020420,Commercial,,20,42,Evergreen Forest,#1C6330,0,none,#ffffff,1,2230
753,020421,Commercial,,20,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,1,2230
754,020422,Commercial,,20,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,1,2230
755,020423,Commercial,,20,42,Evergreen Forest,#1C6330,3,high,#31a354,1,2230
756,020430,Commercial,,20,43,Mixed Forest,#B5C98E,0,none,#ffffff,1,2230
757,020431,Commercial,,20,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,1,2230
758,020432,Commercial,,20,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,1,2230
759,020433,Commercial,,20,43,Mixed Forest,#B5C98E,3,high,#31a354,1,2230
760,020510,Commercial,,20,51,Dwarf Scrub,#A58C30,0,none,#ffffff,0,
761,020511,Commercial,,20,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,0,
762,020512,Commercial,,20,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,0,
763,020513,Commercial,,20,51,Dwarf Scrub,#A58C30,3,high,#31a354,1,
764,020520,Commercial,,20,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,1,2230
765,020521,Commercial,,20,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,1,2230
766,020522,Commercial,,20,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,1,2230
767,020523,Commercial,,20,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,1,2230
768,020710,Commercial,,20,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,1,2230
769,020711,Commercial,,20,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,1,2230
770,020712,Commercial,,20,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,1,2230
771,020713,Commercial,,20,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,1,2230
772,020720,Commercial,,20,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,0,
773,020721,Commercial,,20,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,0,
774,020722,Commercial,,20,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,0,
775,020723,Commercial,,20,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,1,
776,020730,Commercial,,20,73,Lichens,#99C147,0,none,#ffffff,0,
777,020731,Commercial,,20,73,Lichens,#99C147,1,low,#e5f5e0,0,
778,020732,Commercial,,20,73,Lichens,#99C147,2,medium,#a1d99b,0,
779,020733,Commercial,,20,73,Lichens,#99C147,3,high,#31a354,1,
780,020740,Commercial,,20,74,Moss,#77AD93,0,none,#ffffff,0,
781,020741,Commercial,,20,74,Moss,#77AD93,1,low,#e5f5e0,0,
782,020742,Commercial,,20,74,Moss,#77AD93,2,medium,#a1d99b,0,
783,020743,Commercial,,20,74,Moss,#77AD93,3,high,#31a354,1,
784,020810,Commercial,,20,81,Pasture/Hay,#DBD83D,0,none,#ffffff,0,2230
785,020811,Commercial,,20,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,0,2230
786,020812,Commercial,,20,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,0,2230
787,020813,Commercial,,20,81,Pasture/Hay,#DBD83D,3,high,#31a354,1,2230
788,020820,Commercial,,20,82,Cultivated Crops,#AA7028,0,none,#ffffff,0,2230
789,020821,Commercial,,20,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,0,2230
790,020822,Commercial,,20,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,0,2230
791,020823,Commercial,,20,82,Cultivated Crops,#AA7028,3,high,#31a354,1,2230
792,020900,Commercial,,20,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,1,2230
793,020901,Commercial,,20,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,1,2230
794,020902,Commercial,,20,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,1,2230
795,020903,Commercial,,20,90,Woody Wetlands,#BAD8EA,3,high,#31a354,1,2230
796,020950,Commercial,,20,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,1,2230
797,020951,Commercial,,20,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,1,2230
798,020952,Commercial,,20,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,1,2230
799,020953,Commercial,,20,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,1,2230
800,030110,Industrial,,30,11,Open Water,#476BA0,0,none,#ffffff,0,2230
801,030111,Industrial,,30,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
802,030112,Industrial,,30,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
803,030113,Industrial,,30,11,Open Water,#476BA0,3,high,#31a354,1,2230
804,030120,Industrial,,30,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
805,030121,Industrial,,30,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
806,030122,Industrial,,30,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
807,030123,Industrial,,30,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
808,030210,Industrial,,30,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
809,030211,Industrial,,30,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
810,030212,Industrial,,30,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
811,030213,Industrial,,30,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
812,030220,Industrial,,30,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
813,030221,Industrial,,30,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
814,030222,Industrial,,30,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
815,030223,Industrial,,30,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
816,030230,Industrial,,30,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
817,030231,Industrial,,30,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
